;ug;loc;da;aief;afef;tef;tem
0;Brasil;Total;Total;10,9;7,1;15,7;17,8
1;Brasil;Urbana;Total;10,1;6,7;14,4;17,2
2;Brasil;Rural;Total;16,3;10,1;25,9;29,3
3;Brasil;Total;Federal;9,8;4,4;12,1;17,4
4;Brasil;Urbana;Federal;9,8;4,4;12,1;17,4
5;Brasil;Rural;Federal;0,0;0,0;0,0;17,3
6;Brasil;Total;Estadual;12,5;6,7;14,5;19,8
7;Brasil;Urbana;Estadual;12,0;5,9;14,0;19,1
8;Brasil;Rural;Estadual;20,9;16,0;23,3;30,6
9;Brasil;Total;Municipal;12,3;8,0;20,9;18,2
10;Brasil;Urbana;Municipal;11,5;7,6;19,4;13,8
11;Brasil;Rural;Municipal;15,9;9,8;26,7;59,3
12;Brasil;Total;Privada;4,4;4,1;4,9;5,5
13;Brasil;Urbana;Privada;4,4;4,1;4,9;5,2
14;Brasil;Rural;Privada;7,4;5,4;10,2;18,7
15;Brasil;Total;Pública;12,4;7,8;17,9;19,7
16;Brasil;Urbana;Pública;11,6;7,4;16,6;19,0
17;Brasil;Rural;Pública;16,5;10,1;26,1;29,8
18;Norte;Total;Total;17,6;11,8;24,8;26,8
19;Norte;Urbana;Total;14,4;9,8;19,9;23,6
20;Norte;Rural;Total;26,3;17,0;39,0;42,8
21;Norte;Total;Federal;5,8;2,5;6,9;13,7
22;Norte;Urbana;Federal;5,8;2,5;6,9;13,4
23;Norte;Rural;Federal;0,0;0,0;0,0;15,0
24;Norte;Total;Estadual;18,6;12,6;20,8;28,9
25;Norte;Urbana;Estadual;16,3;9,6;18,7;25,7
26;Norte;Rural;Estadual;32,8;26,4;36,2;44,1
27;Norte;Total;Municipal;19,0;12,7;31,1;27,8
28;Norte;Urbana;Municipal;15,5;11,0;25,3;23,8
29;Norte;Rural;Municipal;25,4;16,3;39,8;100,0
30;Norte;Total;Privada;4,5;3,7;5,7;6,3
31;Norte;Urbana;Privada;4,5;3,8;5,6;5,7
32;Norte;Rural;Privada;6,1;1,6;10,1;21,1
33;Norte;Total;Pública;18,9;12,7;26,5;28,3
34;Norte;Urbana;Pública;15,8;10,8;21,7;25,2
35;Norte;Rural;Pública;26,4;17,1;39,1;43,2
36;Nordeste;Total;Total;14,1;8,9;20,5;22,2
37;Nordeste;Urbana;Total;14,1;9,1;19,8;21,6
38;Nordeste;Rural;Total;14,3;8,4;23,3;28,7
39;Nordeste;Total;Federal;12,1;4,5;14,0;19,9
40;Nordeste;Urbana;Federal;12,1;4,5;14,0;19,6
41;Nordeste;Rural;Federal;0,0;0,0;0,0;21,5
42;Nordeste;Total;Estadual;24,7;15,1;26,5;23,9
43;Nordeste;Urbana;Estadual;24,2;12,2;26,1;23,5
44;Nordeste;Rural;Estadual;29,5;24,7;32,4;28,3
45;Nordeste;Total;Municipal;15,1;9,5;22,4;70,8
46;Nordeste;Urbana;Municipal;15,5;10,1;22,2;73,0
47;Nordeste;Rural;Municipal;13,9;8,1;22,9;69,4
48;Nordeste;Total;Privada;7,0;6,6;7,8;7,7
49;Nordeste;Urbana;Privada;7,0;6,6;7,7;7,1
50;Nordeste;Rural;Privada;9,5;7,0;14,2;28,1
51;Nordeste;Total;Pública;15,9;9,6;23,0;23,9
52;Nordeste;Urbana;Pública;16,4;10,1;22,9;23,4
53;Nordeste;Rural;Pública;14,4;8,4;23,4;28,7
54;Sudeste;Total;Total;7,5;4,9;10,6;13,9
55;Sudeste;Urbana;Total;7,4;4,8;10,5;13,9
56;Sudeste;Rural;Total;10,0;6,7;16,0;16,0
57;Sudeste;Total;Federal;11,0;4,8;14,8;16,4
58;Sudeste;Urbana;Federal;11,0;4,8;14,8;16,6
59;Sudeste;Rural;Federal;0,0;0,0;0,0;15,5
60;Sudeste;Total;Estadual;8,7;3,3;10,6;15,6
61;Sudeste;Urbana;Estadual;8,6;3,3;10,6;15,6
62;Sudeste;Rural;Estadual;10,8;3,8;13,2;16,4
63;Sudeste;Total;Municipal;8,5;5,9;15,1;8,9
64;Sudeste;Urbana;Municipal;8,4;5,8;14,9;8,9
65;Sudeste;Rural;Municipal;10,0;7,0;18,5;10,1
66;Sudeste;Total;Privada;3,4;3,1;3,8;5,1
67;Sudeste;Urbana;Privada;3,4;3,1;3,8;5,0
68;Sudeste;Rural;Privada;5,6;4,5;7,0;12,6
69;Sudeste;Total;Pública;8,5;5,4;12,4;15,6
70;Sudeste;Urbana;Pública;8,5;5,3;12,3;15,6
71;Sudeste;Rural;Pública;10,2;6,7;16,5;16,3
72;Sul;Total;Total;9,3;5,8;13,9;16,0
73;Sul;Urbana;Total;9,3;5,8;13,7;16,0
74;Sul;Rural;Total;10,1;6,2;16,7;16,7
75;Sul;Total;Federal;11,8;0,9;14,3;18,0
76;Sul;Urbana;Federal;11,8;0,9;14,3;18,6
77;Sul;Rural;Federal;0,0;0,0;0,0;14,5
78;Sul;Total;Estadual;12,8;7,6;14,6;18,0
79;Sul;Urbana;Estadual;12,8;7,6;14,5;18,0
80;Sul;Rural;Estadual;13,1;7,7;15,8;17,3
81;Sul;Total;Municipal;9,2;6,3;18,1;34,1
82;Sul;Urbana;Municipal;9,2;6,4;18,1;33,6
83;Sul;Rural;Municipal;9,0;5,9;18,0;36,6
84;Sul;Total;Privada;2,1;1,7;2,6;3,7
85;Sul;Urbana;Privada;2,1;1,7;2,6;3,7
86;Sul;Rural;Privada;2,9;2,0;4,3;7,1
87;Sul;Total;Pública;10,6;6,6;15,8;18,0
88;Sul;Urbana;Pública;10,6;6,6;15,7;18,1
89;Sul;Rural;Pública;10,2;6,2;16,9;17,1
90;Centro-Oeste;Total;Total;9,9;7,2;13,5;15,0
91;Centro-Oeste;Urbana;Total;9,6;6,9;13,0;14,7
92;Centro-Oeste;Rural;Total;14,3;10,3;20,5;21,8
93;Centro-Oeste;Total;Federal;5,8;10,4;5,3;15,4
94;Centro-Oeste;Urbana;Federal;5,8;10,4;5,3;15,1
95;Centro-Oeste;Rural;Federal;0,0;0,0;0,0;16,7
96;Centro-Oeste;Total;Estadual;13,3;10,4;14,2;16,8
97;Centro-Oeste;Urbana;Estadual;13,3;10,3;14,1;16,5
98;Centro-Oeste;Rural;Estadual;14,1;11,1;16,1;23,4
99;Centro-Oeste;Total;Municipal;9,7;7,8;18,8;11,3
100;Centro-Oeste;Urbana;Municipal;9,2;7,5;17,6;10,6
101;Centro-Oeste;Rural;Municipal;14,6;10,2;25,9;13,1
102;Centro-Oeste;Total;Privada;3,3;2,6;4,4;4,3
103;Centro-Oeste;Urbana;Privada;3,3;2,6;4,4;4,1
104;Centro-Oeste;Rural;Privada;5,4;2,2;8,0;16,8
105;Centro-Oeste;Total;Pública;11,3;8,2;15,2;16,8
106;Centro-Oeste;Urbana;Pública;11,0;8,0;14,8;16,5
107;Centro-Oeste;Rural;Pública;14,4;10,4;20,7;22,1
108;Rondônia;Total;Total;9,1;6,0;12,7;15,1
109;Rondônia;Urbana;Total;8,2;5,4;11,3;14,6
110;Rondônia;Rural;Total;14,8;9,4;22,7;23,9
111;Rondônia;Total;Federal;0,0;0,0;0,0;8,5
112;Rondônia;Urbana;Federal;0,0;0,0;0,0;8,2
113;Rondônia;Rural;Federal;0,0;0,0;0,0;9,5
114;Rondônia;Total;Estadual;13,0;9,2;13,4;16,4
115;Rondônia;Urbana;Estadual;11,5;4,9;12,2;15,7
116;Rondônia;Rural;Estadual;35,8;32,1;37,4;36,1
117;Rondônia;Total;Municipal;7,6;6,4;16,0;0,0
118;Rondônia;Urbana;Municipal;6,5;6,1;13,4;0,0
119;Rondônia;Rural;Municipal;10,9;7,6;17,5;0,0
120;Rondônia;Total;Privada;1,8;1,3;2,4;5,3
121;Rondônia;Urbana;Privada;1,7;1,4;2,3;4,1
122;Rondônia;Rural;Privada;2,3;0,7;3,8;10,7
123;Rondônia;Total;Pública;10,0;6,7;13,8;15,9
124;Rondônia;Urbana;Pública;9,0;6,0;12,3;15,3
125;Rondônia;Rural;Pública;15,4;9,8;23,9;27,5
126;Acre;Total;Total;20,1;15,7;26,0;25,0
127;Acre;Urbana;Total;13,6;10,9;17,1;19,2
128;Acre;Rural;Total;33,8;25,6;44,6;44,2
129;Acre;Total;Federal;8,7;2,5;12,8;10,2
130;Acre;Urbana;Federal;8,7;2,5;12,8;10,4
131;Acre;Rural;Federal;0,0;0,0;0,0;9,7
132;Acre;Total;Estadual;21,7;15,7;25,4;27,2
133;Acre;Urbana;Estadual;14,4;10,0;17,3;21,0
134;Acre;Rural;Estadual;39,8;31,0;44,9;46,4
135;Acre;Total;Municipal;20,2;17,0;39,3;0,0
136;Acre;Urbana;Municipal;14,9;13,2;31,8;0,0
137;Acre;Rural;Municipal;27,4;23,0;43,6;0,0
138;Acre;Total;Privada;2,3;2,1;2,7;4,4
139;Acre;Urbana;Privada;2,3;2,1;2,7;4,4
140;Acre;Total;Pública;21,1;16,4;27,2;26,3
141;Acre;Urbana;Pública;14,5;11,7;18,3;20,4
142;Acre;Rural;Pública;33,8;25,6;44,6;44,2
143;Amazonas;Total;Total;14,2;9,3;20,5;27,1
144;Amazonas;Urbana;Total;11,6;7,9;16,2;22,1
145;Amazonas;Rural;Total;22,4;13,6;34,1;50,5
146;Amazonas;Total;Federal;6,8;0,0;6,8;14,0
147;Amazonas;Urbana;Federal;6,8;0,0;6,8;14,2
148;Amazonas;Rural;Federal;0,0;0,0;0,0;13,0
149;Amazonas;Total;Estadual;11,9;5,5;15,5;28,7
150;Amazonas;Urbana;Estadual;11,0;5,1;14,5;23,5
151;Amazonas;Rural;Estadual;25,3;13,6;29,6;51,5
152;Amazonas;Total;Municipal;16,4;10,9;26,3;0,0
153;Amazonas;Urbana;Municipal;13,2;9,6;20,6;0,0
154;Amazonas;Rural;Municipal;22,2;13,6;34,8;0,0
155;Amazonas;Total;Privada;4,7;4,2;5,8;5,9
156;Amazonas;Urbana;Privada;4,7;4,2;5,8;5,8
157;Amazonas;Rural;Privada;3,8;3,5;4,0;7,5
158;Amazonas;Total;Pública;15,0;9,8;21,5;28,2
159;Amazonas;Urbana;Pública;12,3;8,4;17,2;23,2
160;Amazonas;Rural;Pública;22,4;13,6;34,2;50,6
161;Roraima;Total;Total;17,8;14,6;22,4;21,2
